doc_id,서류명,발급유형,발급채널,소요영업일_최소,소요영업일_최대,수수료_온라인,수수료_방문,인증강도,유효기간_일,조건분기,출처링크,검증유형,근거문구,검증일,유효기간_근거,검증상태,비고
D001,주민등록표 등본,ONLINE_INSTANT,정부24,0,0,0,400,SIMPLE,90,,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=13100000015,공적출처,"처리기간 즉시(근무시간 내 3시간) / 수수료 방문 400원(이해관계인 500), 인터넷 무료",2026-09-20,,확인완료,방문 일반 400원·이해관계인 500원·무인발급기 50%감면 / 확인 2026-09-20
D002,주민등록표 초본,ONLINE_INSTANT,정부24,0,0,0,400,SIMPLE,90,,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=13100000015,공적출처,"주민등록표 등·초본 교부 동일 민원 / 처리기간 즉시 / 방문 400원, 인터넷 무료",2026-09-20,,확인완료,등본과 동일 민원(등·초본 통합 안내) / 확인 2026-09-20
D003,가족관계증명서(상세),ONLINE_INSTANT,정부24/전자가족관계등록,0,0,0,1000,SIMPLE,90,일반형·상세형·특정형 구분 필요,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=97400000004,공적출처,"처리기간 즉시 / 수수료 방문 1,000원, 인터넷 무료",2026-09-20,,확인완료,"처리기간 즉시, 인터넷 무료·방문 1000원 / 확인 2026-09-20"
D004,혼인관계증명서,ONLINE_INSTANT,정부24/전자가족관계등록,0,0,0,1000,SIMPLE,90,,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=97400000004,공적출처,"처리기간 즉시 / 수수료 방문 1,000원, 인터넷 무료",2026-09-20,,확인완료,가족관계등록부 증명서 5종 동일 수수료 / 확인 2026-09-20
D005,기본증명서(상세),ONLINE_INSTANT,정부24/전자가족관계등록,0,0,0,1000,SIMPLE,90,,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=97400000004,공적출처,"처리기간 즉시 / 수수료 방문 1,000원, 인터넷 무료",2026-09-20,,확인완료,가족관계등록부 증명서 5종 동일 수수료 / 확인 2026-09-20
D006,인감증명서,CONDITIONAL,정부24 또는 주민센터,0,0,0,600,STRONG,90,"온라인은 면허신청·경력증명·보조사업 신청 등 재산권 관련성 낮은 용도만. 법원·금융기관 제출용, 부동산등기, 채권담보, 공탁은 방문 필수",https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=13100000025,공적출처,"처리기간 즉시(근무시간 내 3시간) / 수수료 방문 600원, 인터넷 무료",2026-09-20,,확인완료,"2024-09-30 온라인 발급 시행, 본인만·복합인증 / 확인 2026-09-20"
D007,본인서명사실확인서,OFFLINE_ONLY,읍면동 주민센터,0,0,,0,STRONG,90,전자본인서명확인서 전환 시 최초 1회 방문 승인,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=13110000047,공적출처,"처리기간 즉시 / 수수료 무료(2028-12-31까지 면제, 이후 600원) / 방문만 가능",2026-09-20,,확인완료,"[수정] 수수료 600원→0원: 2028-12-31까지 면제, 이후 600원 / 이용승인 유효기간 4년 / 확인 2026-09-20"
D008,소득금액증명,ONLINE_INSTANT,정부24/홈택스,0,0,0,0,SIMPLE,90,전년도 신고분 확정 이후만 발급,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=12100000021,공적출처,처리기간 즉시(근무시간 내 3시간) / 수수료 없음,2026-09-20,,확인완료,5월 신고기간 전후 공백 주의 / 확인 2026-09-20
D009,사실증명(신고사실없음),ONLINE_INSTANT,정부24/홈택스,0,0,0,0,SIMPLE,90,"정부24·어디서나민원은 신고사실없음/사업자등록사실여부 2종만, 나머지는 홈택스",https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=12100000352,공적출처,처리기간 즉시(근무시간 내 3시간) / 수수료 없음,2026-09-20,,확인완료,무소득 청년 필수 / 확인 2026-09-20
D010,사업자등록증명,ONLINE_INSTANT,정부24/홈택스,0,0,0,0,SIMPLE,90,,https://www.gov.kr/mw/AA020InfoCappView.do?CappBizCD=12100000016,공적출처,처리기간 즉시(근무시간 내 3시간) / 수수료 없음,2026-09-20,,확인완료,확인 2026-09-20
